Unique name,superclass 1
entering,acting
entraining,carrying
enumerating,listing
enveloping,enclosing
epimerising,converting
epoxidising,converting
equalising,making
equipotential bonding,bonding
equipping,providing
eradicating,destroying
erasing,removing
erecting,placing
eroding,deteriorating
erring,acting
escalating,moving
escaping,moving
establishing,acting
esterifying,converting
estimating,determining-obtaining
etching,producing
etherifying,converting
evacuating,removing
evaluating,examining
evaporating,converting
evolving,changing
examining,inspecting
excavating,removing
exceeding,extending
exchanging,substituting
exciting,calling
executing,acting
exhausting,moving
exhibiting,presenting
existing,being
expanding,increasing
expediting,accelerating
expensing,charging
expiring,ending
exploding,combusting
exploiting,acting
exploring,searching
explosion heating,heating
explosion welding,solid state welding
exporting,moving
exposing,subjecting
expressing,representing
extending,expanding
extinguishing,terminating
extracting,separating
extrapolating,expanding
extricating,separating
extruding,shaping
exudating,discharging
fabricating,making
facilitating,making
facing,having
factagene conversation,performative conversation
failing,being
failure analysis,analysing
failure operate of protecting,malfunctioning of protection
falling,descending
farming,process
fastening,fixing
fatigue corrosion,corroding
fatiguing,degrading
fault protecting,protecting
feasibility study,studying
feed forward controlling,controlling
feeder protecting,fault protecting
feeding,supplying
feeding back,transmitting
fermenting,transforming
filing,storing
filling,supplying
filtering,process
financial accounting,accounting
financial controlling,controlling
financial forecasting,forecasting
financial planning,planning
financial reporting,reporting
financial service,serving-acting
financing,providing
finding,discovering
finishing-completing,completing
finishing-treating,treating
fire fighting,terminating
fire proofing,thermal protection
fire protecting,protecting
firing,burning
fissioning,process
fitting,making
fixed bed reaction,chemical reacting
fixed bed separation,physical separation
fixing,acting
flaking,forming
flaming,burning
flange isolation,isolating
flaring,burning
flash separation,physical separation
flash welding,resistance welding
flashing-evaporating,evaporating
flashing-lighting,lighting-emitting
flattening,shaping
floating,resting
flocculating,aggregating
flooding,covering
flotation,physical separation
flow controlling,controlling
flow measurement,measuring
flow regulation,regulating
flowing,moving
fluid storage,storing
fluid transport,transporting
fluidising,suspending
fluorescing,process
fluoridating,adding-acting
fluorinating,treating
flushing,cleansing
flux-cored arc welding,arc welding
fluxing,treating
flying,transporting
foaming,forming
focussing,converging
folding,deforming
following-happening,happening
following-moving,moving
forbidding,commanding
forcing,pressing
forecasting,predicting
forge welding,solid state welding
forging,forming
formalising,acting
forming,acting
formylating,inserting
forwarding,sending
fouling,process
founding,establishing
fractionating,separating
fracturing,destroying
fragmentating,breaking
fragmentising,breaking
fraising,reaming
frame leakage protecting,electrical protecting
franchising,granting
freezing,cooling
freighting,loading
frequency protecting,generator protecting
friction welding,solid state welding
fueling,providing
full distance protecting,distance protecting
full-wave phase comparison protecting,phase comparison protection
fuming,emitting
functioning,acting
funding,providing
funnelling,moving
furfural extraction,extracting
furnace brazing,brazing
furnishing,providing
fuse protecting,feeder protecting
fusing-reducing,reducing
fusing-uniting,uniting
fusion welding,welding
gaining-increasing,increasing
gaining-obtaining,obtaining
galling,wearing
galvanic corrosion,corroding
galvanising,coating-activity
ganging,assembling
gas absorption,absorbing
gas chromatography,chromatography
gas detection,detecting
gas extraction,extracting
gas freeing,cleaning
gas injection,injecting
gas into gas mixing,mixing
gas into liquid mixing,mixing
gas metal arc welding,arc welding
gas processing,processing
gas production,producing
gas quench,quenching
gas refrigeration,refrigerating
gas shielding,shielding
gas treating,treating
gas tungsten arc welding,arc welding
gas welding,fusion welding
gaseous diffusion,diffusing
gasifying,converting
gas-solid separation,separating
gathering,bringing
gauging,measuring
gearing-providing,providing
gearing-readying,readying
gelling,changing
generating,making
