Unique name,superclass 1
turbidity analyser,analysing instrument
turbine flow meter,velocity flow meter
turbine flow meter body,in-line instrument body
turbine flow meter rotor,flow meter rotor
turbine speed governor,speed governor
twin beam flame detector,flame detector
uhf antenna,antenna
uhf receiver,signal receiver
ultrasonic flow meter,velocity flow meter
ultrasonic level switch,level switch
ultrasonic level transmitter,level transmitter
ultrasonic transducer,electromagnetic transducer
ultraviolet detector,detector
ultraviolet flame detector,flame detector
union rupture disc holder,rupture disc holder
universal type orifice plate,orifice plate
u-tube manometer,manometer
valve manifold assembly,physical object
van stone thermowell,flanged thermowell
vane flow meter,flow meter
vapour pressure dew point analyser,dew point analyser
variable area flow meter,flow meter
variable area flow meter element,float
variable area flow transmitter,flow transmitter
v-cone flow meter,differential pressure flow meter
vdu controller,electronic controller
velocity based vibration channel,monitor channel
velocity flow meter,flow meter
venturi,physical object
venturi tube,pipe
venturi tube flow meter,differential pressure flow meter
vhf antenna,antenna
vhf receiver,signal receiver
vibration detector,detector
vibration meter,detecting instrument
vibration probe,detecting element
video recorder,recording instrument
viscosity analyser,analysing instrument
voltage to current converter,signal converter
voltage to pressure converter,signal converter
voltage to voltage converter,signal converter
vortex flow meter,velocity flow meter
vortex pickup,electronic sensor
vortex probe,flow sensor
vortex transmitter,flow transmitter
water detector,detector
weighing scale,detecting instrument
weight indicator,indicating instrument
weir flow meter,open channel flow meter
welded flange thermowell,flanged thermowell
welded paddle orifice plate,paddle orifice plate
welded thermowell,thermowell
wetted transducer,transducer
whip antenna,antenna
wind sensor,detecting element
wire antenna,antenna
wobbe index meter,analysing instrument
xy recorder,recording instrument
yagi antenna,antenna
zanker conditioner,flow straightener
zener barrier,intrinsically safe barrier
zero adjustment device,physical object
